city_name,datetime,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant,terrestrial_radiation_instant
Quezon City,2020-01-01 00:00:00,24.6,86.0,22.0,28.8,0.0,0.0,0.0,0.0,0.0,1015.9,1011.9,4.0,3.0,3.0,0.0,0.0,0.44,4.6,10.0,321.0,322.0,9.4,27.3,29.1,28.2,28.2,0.21,0.287,0.308,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 01:00:00,24.2,86.0,21.7,28.0,0.0,0.0,0.0,0.0,0.0,1015.4,1011.4,16.0,2.0,3.0,40.0,0.0,0.42,6.3,12.7,336.0,331.0,10.8,26.8,29.0,28.2,28.2,0.21,0.287,0.308,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 02:00:00,23.9,86.0,21.5,27.4,0.0,0.0,0.0,0.0,0.0,1015.0,1011.0,14.0,8.0,1.0,21.0,0.0,0.41,8.1,15.8,339.0,333.0,14.0,26.4,28.9,28.2,28.2,0.21,0.287,0.308,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 03:00:00,23.8,86.0,21.4,27.2,0.0,0.0,0.0,0.0,1.0,1014.8,1010.8,28.0,4.0,3.0,74.0,0.01,0.4,8.4,16.3,350.0,342.0,14.4,26.1,28.8,28.2,28.2,0.21,0.287,0.308,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 04:00:00,23.8,86.0,21.4,27.0,0.0,0.0,0.0,0.0,2.0,1014.8,1010.8,60.0,37.0,13.0,63.0,0.01,0.41,9.4,17.2,358.0,350.0,16.6,25.8,28.6,28.2,28.2,0.21,0.287,0.308,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 05:00:00,23.9,86.0,21.4,27.1,0.0,0.0,0.0,0.0,2.0,1015.1,1011.1,50.0,27.0,23.0,40.0,0.01,0.41,9.7,17.0,356.0,354.0,17.3,25.7,28.5,28.2,28.2,0.21,0.287,0.308,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 06:00:00,23.9,86.0,21.4,27.0,0.0,0.0,0.0,0.0,2.0,1015.6,1011.6,61.0,50.0,26.0,1.0,0.01,0.43,10.5,18.0,356.0,359.0,18.0,25.5,28.4,28.2,28.2,0.21,0.287,0.308,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 07:00:00,24.7,82.0,21.4,27.7,0.0,0.0,0.0,0.0,1.0,1016.1,1012.1,21.0,14.0,8.0,11.0,0.05,0.57,11.2,17.4,358.0,6.0,19.1,25.5,28.3,28.2,28.2,0.211,0.287,0.308,0.452,20.0,7.0,13.0,67.2,20.0,86.2,44.5,15.6,28.9,114.9,26.0,191.9
Quezon City,2020-01-01 08:00:00,26.1,79.0,22.1,29.8,0.0,0.0,0.0,0.0,2.0,1017.2,1013.3,56.0,24.0,57.0,0.0,0.13,0.72,9.1,13.0,353.0,360.0,22.3,26.7,28.1,28.2,28.2,0.209,0.287,0.307,0.452,189.0,131.0,58.0,535.4,189.0,346.1,270.2,187.3,82.9,535.4,270.2,494.9
Quezon City,2020-01-01 09:00:00,27.8,70.0,21.9,31.4,0.5,0.5,0.0,0.0,53.0,1017.4,1013.5,27.0,1.0,43.0,0.0,0.21,1.11,8.6,10.8,360.0,4.0,20.9,27.3,28.0,28.2,28.2,0.214,0.287,0.307,0.452,268.0,127.0,141.0,285.6,268.0,629.1,321.5,152.3,169.1,285.6,321.5,754.6
